AB_CLIENT_ID,AB_NOM,AB_PRENOM,AB_DATE_NAISSANCE,AB_EMAIL,AB_TELEPHONE,AB_ADRESSE,AB_CODE_POSTAL,AB_NUM_FISCAL,AB_DATE_CREATION,AB_STATUT_CLIENT
1,Marie,Lucie,1973-01-27,lucie.marie@voila.fr,,rue Carpentier,29617,FR908386379,2024-01-05 13:05:01,INACTIF
2,Robert,Suzanne,1993-02-28,suzanne.robert@free.fr,0430235116,chemin Josette Aubry,06847,FR781618495,2026-07-23 00:10:39,ACTIF
3,Fischer,Léon,1941-11-17,léon.fischer@hotmail.fr,+33 4 43 13 16 47,"62, rue Marguerite Da Costa",89799,FR192832764,2026-05-20 14:51:51,ACTIF
4,Pottier,Matthieu,1943-04-04,matthieu.pottier@dbmail.com,,"83, avenue Guy Aubry",18352,FR884969653,2022-10-28 00:26:36,ACTIF
5,Teixeira,Danielle,1942-01-21,danielle.teixeira@hotmail.fr,+33 (0)2 90 26 91 66,"58, rue de Bazin",92217,FR845146270,2023-11-20 13:23:30,ACTIF
6,Ledoux,Constance,2004-09-26,constance.ledoux@free.fr,+33 (0)4 56 89 32 52,"609, rue Frédéric Étienne",39345,FR039117182,2022-09-27 03:14:33,SUSPENDU
7,Ollivier,Margaux,1971-09-20,margaux.ollivier@free.fr,03 62 83 46 57,"41, rue Maillot",03702,FR839301031,2021-11-29 20:00:03,SUSPENDU
8,Guérin,Vincent,1968-01-14,vincent.guérin@wanadoo.fr,0733829973,"23, avenue Monnier",54520,FR701065133,2023-04-07 04:41:06,ACTIF
9,Pons,Élise,1993-01-22,élise.pons@laposte.net,+33 4 30 73 17 81,boulevard de Garcia,12871,FR326773602,2024-11-13 15:57:54,ACTIF
10,Perrier,Adrien,1997-07-27,adrien.perrier@bouygtel.fr,0563872343,boulevard de Bonnet,95421,FR009788208,2022-04-30 03:13:29,ACTIF
11,Lemoine,Claude,1944-11-22,claude.lemoine@hotmail.fr,+33 5 49 19 39 90,"7, boulevard de Moreno",66423,FR435346247,2024-05-02 13:33:40,INACTIF
12,Legrand,Odette,1998-01-06,odette.legrand@voila.fr,+33 (0)2 21 83 84 25,chemin Jacquet,20548,FR849808412,2023-11-23 21:41:22,SUSPENDU
13,Gautier,Gabriel,1972-09-16,gabriel.gautier@laposte.net,0361534874,avenue Baron,06103,FR524278680,2022-08-06 19:36:08,INACTIF
14,Blot,Denis,1940-07-18,denis.blot@laposte.net,0278620450,"23, boulevard Anouk Legendre",95258,FR322602563,2023-12-01 04:09:24,SUSPENDU
15,Boutin,Hugues,1987-09-16,hugues.boutin@yahoo.fr,+33 (0)6 43 37 54 33,rue de Alexandre,42385,FR145868501,2023-11-13 19:17:52,SUSPENDU
16,Blin,Joseph,1940-11-06,joseph.blin@bouygtel.fr,+33 (0)5 82 55 69 81,"134, avenue de Martin",66925,FR835615951,2024-03-14 07:19:57,SUSPENDU
17,Ruiz,Corinne,1980-01-14,corinne.ruiz@noos.fr,04 50 82 36 62,"946, chemin Renault",26540,FR995777387,2023-02-02 10:47:18,ACTIF
18,Clément,Margaux,2005-10-18,margaux.clément@club-internet.fr,0235343320,avenue Bourdon,97319,FR769367632,2021-09-10 11:07:56,INACTIF
19,Pires,Odette,1993-07-04,odette.pires@yahoo.fr,+33 3 26 87 08 31,"97, boulevard de Prévost",97166,FR986872774,2023-10-01 09:12:43,INACTIF
