AP_USER_ID,AP_FULL_NAME,AP_BIRTH_DATE,AP_MAIL_ADDRESS,AP_PHONE_NUMBER,AP_STREET_ADDRESS,AP_ZIP_CODE,AP_CREATED_AT,AP_CUSTOMER_STATUS,AP_LOYALTY_SCORE
1,Eugène-Jacques Rodriguez,06/10/1943,eugène-jacques.rodriguez@gmail.com,0261177625,"39, boulevard de Picard",73666,2023-08-07 21:31:33,ACTIVE,74
2,Lucas Barbe,1965-02-06,,06 35 40 63 35,"339, rue de Delattre",06141,2025-08-25 12:05:05,ACTIVE,5
3,Alexandria du Laporte,2000-11-14,alexandria.du.laporte@ifrance.com,+33 (0)6 30 73 18 06,"55, rue Durand",61785,2024-03-28 07:56:45,SUSPENDED,78
4,Michel Masse,1997-07-19,michel.masse@voila.fr,02 62 62 57 01,"18, avenue Odette Dupuy",89727,2026-04-05 12:34:27,SUSPENDED,45
5,Françoise-Audrey Legendre,1943-02-07,françoise-audrey.legendre@dbmail.com,0177165790,"92, rue de Guilbert",90892,2023-05-22 06:09:30,ACTIVE,66
6,Jacques Dupuis,2000-10-07,jacques.dupuis@yahoo.fr,+33 3 69 55 48 64,chemin Barre,57597,2025-11-29 04:30:37,SUSPENDED,51
7,Chantal du Lacombe,1997-02-26,chantal.du.lacombe@club-internet.fr,0188371162,"2, chemin Marie",89251,2025-11-13 06:38:02,INACTIVE,42
8,François Dijoux,1975-07-18,françois.dijoux@voila.fr,02 57 75 67 04,"1, boulevard Imbert",42521,2026-07-27 05:01:27,SUSPENDED,60
9,Marguerite Vallée,1996-03-29,marguerite.vallée@wanadoo.fr,04 63 92 42 43,"14, chemin Jacquet",58270,2023-01-05 19:02:37,ACTIVE,14
10,Louise Vidal-Roger,1957-08-04,louise.vidal-roger@laposte.net,+33 2 49 05 92 74,"93, rue de Chartier",40452,2022-11-26 21:12:04,SUSPENDED,79
11,Sophie Gimenez,2008-04-09,sophie.gimenez_at_free.fr,0252067275,"9, chemin de Jourdan",90402,2025-09-04 15:01:18,INACTIVE,14
12,Sébastien Martineau de la Moreno,1981-09-27,sébastien.martineau.de.la.moreno@tele2.fr,+33 (0)6 95 02 81 40,"637, chemin Lefèvre",77756,2023-04-22 13:06:02,SUSPENDED,98
13,Geneviève-Laurence Pierre,1947-01-08,geneviève-laurence.pierre@voila.fr,02 32 86 37 59,"705, avenue Lemaître",49481,2021-10-01 02:41:33,ACTIVE,37
14,Jérôme Marty Le Cohen,1964-12-31,jérôme.marty.le.cohen@hotmail.fr,05 58 74 26 62,"412, avenue Édith Daniel",09704,2024-11-03 17:18:10,ACTIVE,21
